SCENE,KEY,SENTENCE,END_TIME,SPEAKER,SHOW,Sarcasm,Sarcasm_Type,Implicit_Emotion,Explicit_Emotion,Valence,Arousal
1_10004,1_10004_c_00,"Well, I'm sure that, uh, you...
have a lot of questions.",0:06,PERSON,BBT,,,,,,
1_10004,1_10004_c_01,Who was he?,0:08,SHELDON,BBT,,,,,,
1_10004,1_10004_c_02,"His name is Ron.
I met him at my prayer group.",0:12,PERSON,BBT,,,,,,
1_10004,1_10004_c_03,How long have you been involved with him?,0:14,SHELDON,BBT,,,,,,
1_10004,1_10004_c_04,A few months.,0:16,PERSON,BBT,,,,,,
1_10004,1_10004_u,"And of those few months, how long have you been a demented sex pervert?",0:07,SHELDON,BBT,0,NONE,Anger,Anger,2,7
1_10009,1_10009_c_00,"FYI, we plan on selling out the human race hard.",0:02,AMY,BBT,,,,,,
1_10009,1_10009_c_01,"In 20 years, who knows what'll happen with any of us?",0:08,PENNY,BBT,,,,,,
1_10009,1_10009_c_02,I think you and Leonard will be together.,0:1,PERSON,BBT,,,,,,
1_10009,1_10009_c_03,You do?,0:11,PENNY,BBT,,,,,,
1_10009,1_10009_c_04,"Yeah.
I think you're the best couple I know.",0:15,PERSON,BBT,,,,,,
1_10009,1_10009_c_05,That's so sweet.,0:16,PENNY,BBT,,,,,,
1_10009,1_10009_c_06,What the hell?! Excuse me?,0:17,AMY,BBT,,,,,,
1_10009,1_10009_c_07,Ah-da-da-da-da!,0:2,PENNY,BBT,,,,,,
1_10009,1_10009_u,"Let the dead man talk. So, why do you think that?",0:05,PENNY,BBT,0,NONE,Happiness,Happiness,6,5
1_1001,1_1001_c_00,Or maybe she just doesn't want to talk.,0:03,SHELDON,BBT,,,,,,
1_1001,1_1001_c_01,"Look, I found an iPod!",0:08,RAJ,BBT,,,,,,
1_1001,1_1001_c_02,It's smashed beyond repair. What are you gonna do with it?,0:15,HOWARD,BBT,,,,,,
1_1001,1_1001_u,"What else? Sell it on eBay as ""slightly used.""",0:04,RAJ,BBT,0,NONE,Excitement,Excitement,6,5
